Poem Name,type,Author,Year,Lime,Is metaphor available?,Count,Source,Target,Meaning
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,පබල සිංහල ජාති කාලය නමැති ගිනිගොඩ මොලව මොල වා,ඔව්,1,ගිනිගොඩ,කාලය,ප්‍රභල සිංහල ජාතිය වෙලාව එළඹෙන තුරු බලා සිටී
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ජාතිය රන් විමනක් වේ,ඔව්,1,රන් විමනක්,ජාතිය,ජාතිය රනින් නිර්මාණය කල රාජධානියක් වැනිය
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ආගම මිණි පහනක් වේ,ඔව්,1,මිණි පහනක්,ආගම,ආගම නොනිවී දැල්වෙන පහනක් වැනිය
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,නිදහස මහ මුහුදක් වේ,ඔව්,1,මහ මුහුදක්,නිදහස,නිදහස සීමාවක් නැති දෙයකි
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,එහි උල්පත පුත ! නුඹ වේ,ඔව්,1,උල්පත,පුත,එහි පටන් ගැනීම පුත ඔබයි
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,සටන් නමැති යකිණිගෙ ගත සිත දෙක ම,ඔව්,1,යකිණිගෙ,සටන්,සටන් යනු අතිශය බියජනක දෙයක්‍ වේ
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,බියගුලුකම නිවටකමයි,ඔව්,1,බියගුලුකම,නිවටකමයි,බියගුලුකම නිවටකමක් ලෙස සැලකේ
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,පුවතර සිහල ජාතික රන් සෑය මත,ඔව්,1, රන් සෑය මත,සිහල ජාතික,පිදිය යුතු සිංහල ජාතිය ගැන
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ගව සව් බැතින් ජීවිත මිණි කුසුම් කොත,ඔව්,1,මිණි කුසුම් කොත,ජීවිත,සැම අත පැනිරුණු භක්තියෙන් ඇලලී ගිය ජීවිත රැසම
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,අන් ඔබගෙ සිතියම හද මිණි බැම්මේ,ඔව්,1,මිණි බැම්මේ,හද,ලංකාවේ සිතියම නොමැකෙන මතකයක් ලෙස හදවතේ තැන්පත් වී ඇත
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,මැදහත් නැණින් විමසමු ලොව අඳුරක් ය,ඔව්,1,අඳුරක්,ලොව,ලෝකයේ ඇති නරක තම නුවණින් දැනගත යුතු වේ
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ලද දිවි පෙවෙත එහි වූ දික් ගමනක්‍ ය,ඔව්,1,දික් ගමනක්‍,දිවි පෙවෙත,තමාට ලැබී ඇති ජීවිතය ඇඳී ඇති මාවතක කාලයක් ගමන් කරන්නකි
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,නිදහස එ දෙක අතරෙහි ඇති එළියක් ය,ඔව්,1,එළියක්,නිදහස,නිදහස ජීවිත ගමන අලෝකමත් කරයි
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,බදාගත අලස බැව් යකිණිය කුරිරු,ඔව්,1,යකිණිය,අලස බැව්,අලස බව පෝෂණය කිරීම ඉතා බියකරු දෙයකි
තිසර සංදේශය,Standard,තිසරකරු,,සුර නර බිඟු සරන - පද තඹ රැ' ති සුරිඳු සඳ,ඔව්,1,බිඟු,සුර නර,දිව්‍ය මනුෂ්‍යයන් එන යන වන්දනා කරන ශ්‍රී පාද පද්මය
තිසර සංදේශය,Standard,තිසරකරු,,රජ මිණි වැජඹමෙන් - මිණි අතර සිරි සපැමිණි,ඔව්,1,මිණි,රජ,මහත් වූ සෞම්‍ය ගුණයෙන් පූර්ණ චන්ද්‍රයා පරාජය කළ රජුන් නමැති මැණික් බැබළීමෙන් මැණික් ආකරයක ශෝභාවට පත්
තිසර සංදේශය,Standard,තිසරකරු,,සත් මිණි අබරණ සිලිලාර දුහුලින,ඔව්,1,අබරණ,සත් මිණි,සත්රුවන් සාගරය වැනි ස්වාභාවික සම්පත් වලින් සැරසුණු
තිසර සංදේශය,Standard,තිසරකරු,,සත් මිණි අබරණ සිලිලාර දුහුලින,ඔව්,1,සිලිලාර,දුහුලින,සත්රුවන් සාගරය වැනි ස්වාභාවික සම්පත් වලින් සැරසුණු
තිසර සංදේශය,Standard,තිසරකරු,,සැදි මහවැලි ගං මුතුහරිනි බබලන,ඔව්,1,මුතුහරිනි,මහවැලි ගං,මහවැලි ගඟ ලක්දිව සරසයි
තිසර සංදේශය,Standard,තිසරකරු,,සිරි ලක ගන මත කිරුළෙක අයුරු වන,ඔව්,1,ගන,සිරි ලක ,ශ්‍රී ලංකාව රාජත්වයට පත්වී වගේය
තිසර සංදේශය,Standard,තිසරකරු,,ගැඹර අගල මෙවුලින් පුන් කුඹු තෙනෙනි,ඔව්,1,මෙවුලින්,ගැඹර අගල,ගැඹුරු අගල පුන් කලස් දියුණුව සශ්‍රීකත්වය පෙන්වයි
තිසර සංදේශය,Standard,තිසරකරු,,ගැඹර අගල මෙවුලින් පුන් කුඹු තෙනෙනි,ඔව්,1,තෙනෙනි, පුන් කුඹු,ගැඹුරු අගල පුන් කලස් දියුණුව සශ්‍රීකත්වය පෙන්වයි
තිසර සංදේශය,Standard,තිසරකරු,,නිතොර සොබන මහ වේ සීමන් ඉරිනි,ඔව්,1,මහ වේ,සීමන් ඉරිනි,සතර අත විහිදුනු මහා මාර්‍ග ආඩම්බරයක් එක් කරයි
තිසර සංදේශය,Standard,තිසරකරු,,එ පු ර අඟන නළලත දුන් තලා වැනි,ඔව්,1,එ පු ර,අඟන,ඒ පුරයට ලස්ස්න දෙයක් ඉතා ලස්සන කිරීමට එක් කල දෙයක් ලෙස දිස්වේ 
තිසර සංදේශය,Standard,තිසරකරු,,නොම හැර මෙලක ඇල් කෙත ඔද කෙළේ මෙද,ඔව්,1,ඇල් කෙත,මෙලක,මේ ලංකාව සශ්‍රීකත්වයට පත් කළා පමණක් නොව
තිසර සංදේශය,Standard,තිසරකරු,,මමිතු ර සතන් සිත් මියුරනුදු කෙළෙ නඳ,ඔව්,1,මියුරනුදු,සිත්,සැමගේ සිත් සතුටු කළේය
තිසර සංදේශය,Standard,තිසරකරු,,සහ සෙන් ඇමති ගණ මන කුමුදු කැර නද,ඔව්,1,සේනා සහිත වූ ඇමති සමූහයාගේ සිත්,කුමුදු,මල් පිබිදීම ඉතා උත්සවශ්‍රියක් ලෙස පෙනේ
තිසර සංදේශය,Standard,තිසරකරු,,පැහ පත යුගත් පියුමිළු කැර මුහුළු සෙද,ඔව්,1,පැහැපත් දැත් ,නෙළුම් වනය,පැහැපත් දැත් නමැති නෙළුම් වනය වහා අකුළුවා
තිසර සංදේශය,Standard,තිසරකරු,,සි හ සන උදය ගිරි මුදුනතෙහි සිරි නද,ඔව්,1,සිංහා- සන,උදය පර්වත මුදුනෙහි,සඳ එලියෙන් ශෝභාමාන වූ උදය පර්වත මුදුන රජකුගේ සිහසුනක් මතකයට නගයි
තිසර සංදේශය,Standard,තිසරකරු,,දුටු සඳ දිගු බැම බිඟු වැළ සසලේ,ඔව්,1,බිඟු වැළ,දිගු බැම,අලංකාර මුහුණෙහි ඇතිවන දික් බැම වී වයක මතකය නගයි
තිසර සංදේශය,Standard,තිසරකරු,,තුටු නළ රඟ දෙයි මන රඟ මඩලේ,ඔව්,1,නළ,තුටු,සතුට මනසෙහි පිනා යයි
තිසර සංදේශය,Standard,තිසරකරු,,බැම'ළුව නෙතු සැර සර හා මුව ලා,ඔව්,1,අළුව,බැම,"රූපයෙන් බබළන කාන්තාවන් බැම නමැති දුන්නෙහි ඇස් නමැති හි, මුවහත් කොට"
තිසර සංදේශය,Standard,තිසරකරු,,බැම'ළුව නෙතු සැර සර හා මුව ලා,ඔව්,1,සැර,නෙතු,"රූපයෙන් බබළන කාන්තාවන් බැම නමැති දුන්නෙහි ඇස් නමැති හි, මුවහත් කොට"
තිසර සංදේශය,Standard,තිසරකරු,,රිවි කුල විල සරන රනහස ලියෙ' ක බඳ,ඔව්,1,විල,රිවි කුල,සූර්ය වංශය නමැති විලෙහි හැසිරෙන ස්වර්ණ හංස ධේනුවක හා එක සමාන වූ
දක්ෂිණ කාව්‍ය සංග්‍රහය,Standard,,,ඕ නළඟනකි තරු වැනි මුතු-මිණි පැළඳී,ඔව්,1,නළඟනකි,ඕ,ආභරණ වලින් සැරසුනු කාන්තාව නිළියක් ලෙස පෙනේ
දක්ෂිණ කාව්‍ය සංග්‍රහය,Standard,,,ජාතිය ගසෙකි එහි මල නම් නිදහස ය,ඔව්,1,ගසෙකි,ජාතිය,ජාතියක දියුණුව නිදහසෙන් සංකේත්වත් වේ
දක්ෂිණ කාව්‍ය සංග්‍රහය,Standard,,,ජාතිය ගසෙකි එහි මල නම් නිදහස ය,ඔව්,1,මල,නිදහස,ජාතියක දියුණුව නිදහසෙන් සංකේත්වත් වේ
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,නිදොස් ගුණ බරණ සදහම් කිරුළ වෙසෙස් දරා,ඔව්,1,බරණ,නිදොස් ගුණ,"නිවැරැදි ගුණ නැමැති ආභරණත්, සද්ධර්මය නැමැති ඔටුන්නත් පැළඳගෙන"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,නිදොස් ගුණ බරණ සදහම් කිරුළ වෙසෙස් දරා,ඔව්,1,කිරුළ,සදහම්,"නිවැරැදි ගුණ නැමැති ආභරණත්, සද්ධර්මය නැමැති ඔටුන්නත් පැළඳගෙන"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,සිල් සෙනඟ ගෙන මෙත් තුරඟ අරා,ඔව්,1,තුරඟ,මෙත්,උතුම් ශීලය සිත පිහිටුවා ගෙන මෛත්‍රීය පෙරටුකරගෙන
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,කෙලෙස් රුපුන් සිඳ නැණ කගිනි නොමහැරා,ඔව්,1,රුපුන්,කෙලෙස්,නුවණ පාවිච්චි කරමින් කෙලෙස් මගහරවා ගනිමින්
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,කෙලෙස් රුපුන් සිඳ නැණ කගිනි නොමහැරා,ඔව්,1,කගිනි,නැණ,නුවණ පාවිච්චි කරමින් කෙලෙස් මගහරවා ගනිමින්
සුභාෂිතය,Extended,අලගියවන්න මුකවැටි,2015,"පින් මද පුතුන් සියයක් ලදුවත් නිසරු
ගුණ නැණ බෙලෙන් යුතු පුතුමය ඉතා ගරු
එක පුන් සඳින් දුරුවෙයි ලොව ගන අඳුරු
නෙක තරු රැසින් එලෙසට නොම වේය දුරු",ඔව්,1,එක පුන් සඳින් දුරුවෙයි ලොව ගන අඳුරු,පින් මද පුතුන් සියයක් ලදුවත් නිසරු,රටට ජාතියට ඵලක් නොමැති මිනිසුන් රැසක් සිටීමට වඩා රටට ජාතියට ඵල ඇති එක මිනිසෙක්ට ඉහළ වටිනාකමක් ඇත
සුභාෂිතය,Extended,අලගියවන්න මුකවැටි,2015,"කුළුණු ගුණින් යුතු උතුමන් සිත මහරු 
දුදන බසින් නොයෙදෙයි කරනට නපුරු
නව රුවනින් පිරි මහ සුමුදුර ගැඹුරු
තණ සුලකින් හුණු කළ හැකි වෙති කවුරු",ඔව්,1,"නව රුවනින් පිරි මහ සුමුදුර ගැඹුරු
තණ සුලකින් හුණු කළ හැකි වෙති කවුරු","කුළුණු ගුණින් යුතු උතුමන් සිත මහරු 
දුදන බසින් නොයෙදෙයි කරනට නපුරු",කරුණා ගුණයෙන් යුතු පිදිය යුතු උත්තමයන්ගේ සිත අසත්පුරුෂයනගේ වචනයෙන් නපුරු කිරීමට නොහැකි වෙයි. 
සුභාෂිතය,Extended,අලගියවන්න මුකවැටි,2015,"නපුරු කුලට සතහට පැමිණෙත වෙහෙස
එදුරු නොවෙයි කළ පව් පල දෙවා මිස
තඹුරු වනය මුකුලිත වන බව සවස
කවුරු විසින් වැලකිය හැකි මෙදිය කුස",ඔව්,1,"නපුරු කුලට සතහට පැමිණෙත වෙහෙස
එදුරු නොවෙයි කළ පව් පල දෙවා මිස","තඹුරු වනය මුකුලිත වන බව සවස
කවුරු විසින් වැලකිය හැකි මෙදිය කුස",අසුබ කාලයට සත්ත්වයාට දුක් කරදර පැමිණෙන විට කරනු ලැබූ වැරදි වලට විපාක දී මිසක් ඒ (දුක්කම් කටුලු) දුරු නොවෙයි
සුභාෂිතය,Extended,අලගියවන්න මුකවැටි,2015,"තුල සිය දිවි පුරුදුව විසුවද නොමද
දුල ගුණ සුදනන් ගෙ නො දනිති දනෝ දද
විල වැඩි මැඬහු නොදනිති පියුමෙහි සුවඳ
වල බිගු එ මුවරද ගෙන මත්ව දෙති නද",ඔව්,1,"තුල සිය දිවි පුරුදුව විසුවද නොමද
දුල ගුණ සුදනන් ගෙ නො දනිති දනෝ දද","විල වැඩි මැඬහු නොදනිති පියුමෙහි සුවඳ
වල බිගු එ මුවරද ගෙන මත්ව දෙති නද",තමාගේ ජීවිතය මෙන් බොහෝ ඇසුරු කළත් මෝඩ මිනිස්සු සජ්ජනයන් ගේ උසස් ගුණ නො දනිති.
සුභාෂිතය,Extended,අලගියවන්න මුකවැටි,2015,"නැණැති දනන් හට මඳ ගුණයක් කළද
පවති ගල කෙටු අකුරක් මෙන් නිබඳ
විමති දනන් හට කළ කිසි ගුණ නොමද
එනැති වේය දිය පිට ඇඳි ඉරක් ලෙද",ඔව්,1,"නැණැති දනන් හට මඳ ගුණයක් කළද
පවති ගල කෙටු අකුරක් මෙන් නිබඳ","විමති දනන් හට කළ කිසි ගුණ නොමද
එනැති වේය දිය පිට ඇඳි ඉරක් ලෙද",ප්‍රමාණ කොට ගත නොහැකි ගුණයෙන් හා නුවණින් යුතු ඉතා ප්‍රකට උත්තමයෝ කෙළවරක් නැති ගැහැට ලැබුවත් දුෂ්ට සිතක් ඇති කැර නොගනිති.
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,සමුදුර සියල් කිඳලෙක තුඹසෙක සුනෙර,ඔව්,1,කිඳලෙක ,සමුදුර,ස්ථිර සාර ගුණයෙන් යුත් උතුම් මහත්මයකු හට මහා සාගරය දිය කඩිත්තෙකි. මහමෙර තුඹසෙකි
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,සමුදුර සියල් කිඳලෙක තුඹසෙක සුනෙර,ඔව්,1,සුනෙර,තුඹසෙක,ස්ථිර සාර ගුණයෙන් යුත් උතුම් මහත්මයකු හට මහා සාගරය දිය කඩිත්තෙකි. මහමෙර තුඹසෙකි
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,විජම් පෙළ සයුර සැදි මොක් වෙරළතින,ඔව්,1,සයුර,විජම් පෙළ,නිවන නැමැති වෙරළින් සැදුණු අභිධර්ම පිටකය නැමැති සාගරය
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,විජම් පෙළ සයුර සැදි මොක් වෙරළතින,ඔව්,1,වෙරළතිත,මොක්,නිවන නැමැති වෙරළින් සැදුණු අභිධර්ම පිටකය නැමැති සාගරය
සුභාෂිතය,Extended,අලගියවන්න මුකවැටි,2015,"කුරිරු ගොර සපුන්ගේ දළ ගෙහි විසය
මදුරු මැසි කැලන්ගේ තුඩ විසය
රුදුරු නුහුසුවන්ගේ වලගෙහි විසය
නපුරු දුදනන්ගේ සියලගහිම විසය",ඔව්,1,"කුරිරු ගොර සපුන්ගේ දළ ගෙහි විසය
මදුරු මැසි කැලන්ගේ තුඩ විසය
රුදුරු නුහුසුවන්ගේ වලගෙහි විසය",නපුරු දුදනන්ගේ සියලගහිම විසය,සතුන්ගේ විස ඇත්තේ කොහෙද කියා අඳුන ගත්තද නපුරු දුදනන්ගේ එසේ හඳුනාගත නොහැක
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,සත වෙත පත මෙත සඟ හස සෙව් පසිඳූ,ඔව්,1,හස,සඟ,"සත්ත්වයන් කෙරෙහි පැතුරුණු මෛත්‍රිය ඇති, ප්‍රසිද්ධ සංඝයා නමැති හංසයන් විසින් ඇසුරු කළ"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,අවනත සුර මත මිණිතර සර පුබුදූ,ඔව්,1,සර,මිණිතර,"වැඳීම් පිණිස නැමුණු දෙවියන්ගේ, හිස් මුඳුනෙහි ඇති මැණික් වල රශ්මිය නැමැති විලේ පිපුණු"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,දිගුරත ගිලි දල පෙළ මොක් සුවඳ රැඳූ,ඔව්,1,දල පෙළ,දිගුරත ගිලි,"දික් රතු ඇඟිලි නමැති පෙති පෙළින් යුතු, නිවන් නැමැති සුවඳින් රැඳුණු"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,දිගුරත ගිලි දල පෙළ මොක් සුවඳ රැඳූ,ඔව්,1,සුවඳ,මොක්,"දික් රතු ඇඟිලි නමැති පෙති පෙළින් යුතු, නිවන් නැමැති සුවඳින් රැඳුණු"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,පුන් පිරිසිඳු සිල් මුල් ගුණ කඳින් යුති,ඔව්,1,මුල්,පුන් පිරිසිඳු සිල් ,සම්පූර්ණයෙන් පිරිසිඳු වූ සිල් නමැති මුල් ද ගුණ නමැති කඳ ද දන් දීම
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,පුන් පිරිසිඳු සිල් මුල් ගුණ කඳින් යුති,ඔව්,1,කඳින්,ගුණ,සම්පූර්ණයෙන් පිරිසිඳු වූ සිල් නමැති මුල් ද ගුණ නමැති කඳ ද දන් දීම
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,දන්කම නැණ කුරු මල් සා මඩුලු ඇති,ඔව්,1,කුරු,නැණ,ඉවැසීම නමැති මල් ද නුවණ නමැති අතු පතර විහිදුනු
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,දන්කම නැණ කුරු මල් සා මඩුලු ඇති,ඔව්,1,මල්,සා,ඉවැසීම නමැති මල් ද නුවණ නමැති අතු පතර විහිදුනු
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,පින් කප්තුරු සග මොක් පල දෙන කැමති,ඔව්,1,කප්තුරු,පින්,කැමති වන දෙව් ලෝ සැප නිවන් සැප නමැති පල ලබා දෙන් පින් නමැති වෘක්ෂය 
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,මන් සුදනන් මෙත් සිලිලෙන් වැඩෙයි නිති,ඔව්,1,සිලිලෙන් ,මෙත්,යහපත් මනිසුන්ගේ සිතෙහි පවතින මෛත්‍රිය නමැති ජලයෙන් හැම විට වැඩෙයි.
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,පියකර සතර බඹ විහරණ සිවු පෙදෙනි,ඔව්,1,පියකර,සතර බඹ විහරණ,"සියලු සත්ත්වයෙනි, සතර බ්‍රහ්ම විහාර නමැති පා සතරින් පියකරු වූ වීර ගුණය"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,වැර සැර නැණ යුවළ දළ දිලි දන් සොඬිනි,ඔව්,1,යුවළ දළ,නැණ,"ඥානය දෙවිදියකි, දන්දීම පෙරටු කරගත් යුතුය"
සුභාෂිතය,Standard,අලගියවන්න මුකවැටි,2015,නිති සුපසන්න සරසව් රැඳී මුව තඹර,ඔව්,1,තඹර,මුව,ඉතා ප්‍රසන්න වූ මුහුණ
හද බැඳි ජන කවි,Standard,ලාල් ගුණසේකර,1999,සෝක වලාකුළු නැඟ නැඟ එන් නේ,ඔව්,1,වලාකුළු,සෝක,ශෝකය වලාවක් සේ මුලු සිතම ආවරණය කරයි
හද බැඳි ජන කවි,Standard,ලාල් ගුණසේකර,1999,සුසුම් කුණාටුව සැඬව හමන් නේ,ඔව්,1,කුණාටුව,සුසුම්,හැඟීම් පාලනයක් නැතුව දරුණුව ගලා යයි
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,හා ද කමක් අඟවා ම විදේසිකයා ගිනි දැල් මොලවන් නා,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,පාද වමින් නැණ මීට වහා පිළියම් නො කළොත් අප කාටත්,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,වේද කුමක්? විමසව්! අද සිංහලුනේ නොනිඳා මරනින් දේ,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ලක් කළ ලෝ වැඩ යුත් මිනිසා හට එ අදහමින් පල වේ නම්,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,තව මුළු වදිනු කුමට ද බිය ව සිත දෙවරක් මැරෙන,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,මිනිහෙක් මේ ලොවේ නැ,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,පොඩි පොඩි නුඹලාගෙන් බැව් සිතත්වා දකිත්වා,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,එය රැක ගන්නට මෙලොවේ,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,සමත් වෙතොත් පුත නුඹ වේ,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ඒ බව සිහි කොට මෙ ලො වේ,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,යුතුකම ඉටු කළ යුතු වේ,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,මසි න් උණු ලෙයින් සනසා ලන තුරු ම,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,නොවන්නෙ නම් අප හට නිදහස උරුම,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,කරන්නෙමු එය ද දහමක් ලෙස පරම,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,මේ එක පාඩම සිත්හි දරව් අද සෝයුරුවන් ලෙස එක් ව න්,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ද ක්සකමැයි පවසන්නෙ ද යම් දහමක් පරලෝක විමුක්ති,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,ලක් සණ මංගල ගේක මිනීකණ වේවි අහෝ !මනමා ලී,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,දෑ බැති මල් පිබිදෙනවා,නැත,0,,,
ජාතිය රන් විමනක් වේ,Standard,පූජ්‍ය ටිබෙට් එස්. මහින්ද හිමි,2001,සිරිලක් මව් හිනැහෙනවා,නැත,0,,,
